dec,fil,ra,Object
-24.3175,i,342.7168333333333,S230922g
-19.84861111111111,i,341.9978333333333,S230922g
-25.974944444444443,i,341.770625,S230922g
-29.127472222222224,i,341.83425,S230922g
-27.42736111111111,i,342.69762499999996,S230922g
-27.179694444444447,i,344.54220833333324,S230922g
-24.6815,i,334.48591666666664,S230922g
-25.17216666666667,i,333.57670833333333,S230922g
-26.68525,i,334.436125,S230922g
-26.53866,g,336.26884583333333,S230922g 86
-27.701,g,337.0459958333333,S230922g 86
-27.859630000000003,g,339.0201916666667,S230922g 86
-18.41852,g,341.16459166666664,S230922g 86
-27.65362,g,340.8586333333333,S230922g 86
-25.97339,g,341.7681458333333,S230922g 86
-24.31613,g,342.71500416666663,S230922g 86
-19.84703,g,341.9943583333333,S230922g 86
-22.68581,g,343.69214999999997,S230922g 86
-21.26945,g,342.83554583333336,S230922g 86
-18.56166,g,339.34569166666665,S230922g 86
-18.69634,g,337.54082916666664,S230922g 86
-18.82157,g,335.74702499999995,S230922g 86
-20.42659,g,334.7467666666666,S230922g 86
-23.538860000000003,g,334.5594,S230922g 86
-22.03947,g,333.74679166666664,S230922g 86
-28.19901,g,335.33147916666667,S230922g 86
-24.68,g,334.48425,S230922g 86
-25.17077,g,333.57444166666664,S230922g 86
-26.68437,g,334.43422499999997,S230922g 86
-29.34986,g,339.9874333333333,S230922g 86
-29.546560000000003,g,338.13534166666665,S230922g 86
-29.71671,g,336.2752791666666,S230922g 86
-29.1286,g,341.83257083333336,S230922g 86
-27.18004,g,344.54054999999994,S230922g 86
-27.42709,g,342.69709583333326,S230922g 86
-24.0981,g,344.56824166666655,S230922g 86
-21.26945,i,342.83554583333336,S230922g
-19.84703,i,341.9943583333333,S230922g
-24.31613,i,342.71500416666663,S230922g
-25.97339,i,341.7681458333333,S230922g
-18.69634,i,337.54082916666664,S230922g
-18.56166,i,339.34569166666665,S230922g
-22.68581,i,343.69214999999997,S230922g
-18.41852,i,341.16459166666664,S230922g
-20.42659,i,334.7467666666666,S230922g
-24.68,i,334.48425,S230922g
-23.538860000000003,i,334.5594,S230922g
-18.82157,i,335.74702499999995,S230922g
-25.17077,i,333.57444166666664,S230922g
-26.68437,i,334.43422499999997,S230922g
-28.19901,i,335.33147916666667,S230922g
-22.03947,i,333.74679166666664,S230922g
-27.42709,i,342.69709583333326,S230922g
-29.71671,i,336.2752791666666,S230922g
-29.546560000000003,i,338.13534166666665,S230922g
-29.1286,i,341.83257083333336,S230922g
-29.34986,i,339.9874333333333,S230922g
-27.18004,i,344.54054999999994,S230922g
-24.0981,i,344.56824166666655,S230922g
-27.18186111111111,g,344.54324999999994,S230922g 86
-28.200583333333334,g,335.33316666666667,S230922g 86
-25.172722222222223,g,333.5765833333333,S230922g 86
-24.682166666666667,g,334.4863333333333,S230922g 86
-29.717694444444444,g,336.2777083333333,S230922g 86
-29.547027777777778,g,338.1370833333333,S230922g 86
-18.823999999999998,g,335.74999999999994,S230922g 86
-20.428611111111113,g,334.74929166666664,S230922g 86
-22.041611111111113,g,333.7492083333333,S230922g 86
-21.27133333333333,g,342.83804166666664,S230922g 86
-22.686972222222224,g,343.69362499999994,S230922g 86
-26.54041666666667,g,336.2700833333333,S230922g 86
-27.701666666666664,g,337.04699999999997,S230922g 86
-27.861138888888892,g,339.0225,S230922g 86
-24.31738888888889,g,342.71725,S230922g 86
-24.099916666666665,g,344.5717916666666,S230922g 86
-26.685833333333335,g,334.4361666666666,S230922g 86
-29.350472222222223,g,339.9889166666666,S230922g 86
-29.12925,g,341.83520833333336,S230922g 86
-27.428416666666667,g,342.7003333333333,S230922g 86
-18.56372222222222,g,339.34874999999994,S230922g 86
-18.697666666666667,g,337.544125,S230922g 86
-19.84933333333333,g,341.9968333333333,S230922g 86
-18.42066666666667,g,341.16683333333333,S230922g 86
-23.54061111111111,g,334.5619583333333,S230922g 86
-27.654194444444443,g,340.8599583333333,S230922g 86
-25.974444444444444,g,341.76941666666664,S230922g 86
-24.099055555555555,i,344.5697916666666,S230922g
-28.199055555555557,i,335.33254166666666,S230922g
-29.71672222222222,i,336.27662499999997,S230922g
-29.349833333333333,i,339.98866666666663,S230922g
-29.546222222222223,i,338.135625,S230922g
-22.041611111111113,i,333.7482499999999,S230922g
-20.428305555555557,i,334.7482499999999,S230922g
-18.82422222222222,i,335.7480833333333,S230922g
-23.53988888888889,i,334.559875,S230922g
-18.698888888888888,i,337.5433333333333,S230922g
-18.421333333333333,i,341.16687499999995,S230922g
-18.56363888888889,i,339.3470833333333,S230922g
-22.687694444444446,i,343.6950416666666,S230922g
-21.271305555555553,i,342.8385833333333,S230922g
